기관명,기관구분,지역코드,구시군코드,입찰주기,지난입찰일,입찰예상일,확정여부,경도,위도,출처,수정일
세종특별자치시,지자체,36,,,,,,,,월/일 미확보 — 공고일·지정일 특정 실패;차기 금고가 2027~2030년 4년간 관리 → 2026년 중 공모(연도만 확정);현 1금고 NH농협은행 · 2금고 우리은행 · 신청 농협/우리/국민/하나;https://www.sjsori.com/news/articleView.html?idxno=12075,2026-08-09
충청북도,지자체,43,,,,,,,,월/일 미확보 — 제안 모집 공고일 특정 실패(진행 중);현 약정 2026년 말 만료 → 차기 2027-01-01~2030-12-31(4년) 제안 모집 공고됨;1금고 농협(1997~) · 2금고 신한은행(2008~) · 규모 약 8조;https://v.daum.net/v/p59H4vNfDL?f=p;https://www.inews365.com/news/article.html?no=881129,2026-08-09
충청남도,지자체,44,,,,,,,,월/일 미확보 — 공고일·지정일 특정 실패;현 약정 2027년까지 4년 · 1금고 NH농협은행 · 2금고 하나은행;https://www.cctoday.co.kr/news/articleView.html?idxno=2190920,2026-08-09
전북특별자치도,지자체,45,,,,,,,,월/일 미확보 — 2025년 11월 차기 선정만 확인(일자 미상);직전 약정 2022-01-01~2025-12-31(4년) → 차기 2026~2029;차기 선정에 '지역 기여형 지표'(중소기업·서민 지원) 신설;https://www.newsis.com/view/NISX20250804_0003278050;http://www.koreasisailbo.com/1963175,2026-08-09
경상북도,지자체,47,,,,,,,,월/일 미확보 — 2022년 하반기 공모라는 사실만 확인;약정주기를 3년→4년으로 연장 · 현 약정 2023-01-01부터 4년(2026년 말 만료);→ 2026년 하반기 차기 공모 예상 · 1금고 NH농협은행 · 2금고 대구은행 · 연 약 11조;https://www.imaeil.com/page/view/2022053116053932638,2026-08-09
종로구청,지자체,11,11010,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — 금리 공고(2026-01-05)만 노출, 금고지정 공고 없음(아직 공고 전으로 보임);현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
중구청,지자체,11,11020,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — '금고' 제목 공고 0건(게시판에 없음);현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
용산구청,지자체,11,11030,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — 금리 공고(2026-01-09)만 노출, 금고지정 공고 없음(아직 공고 전으로 보임);현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
성동구청,지자체,11,11040,4,,,,,,"월/일 미확보 — 직전(2022년) 회차 공고일 원문 미확인;다만 2018년 회차 공고 원문은 확인 — 약정 2019-01-01~2022-12-31(4년), 제안서 접수 2018-08-20~22;→ 2018·2022 두 회차로 4년 주기가 실증된 유일한 자치구다;https://www.sd.go.kr/main/selectBbsNttView.do?key=3649&bbsNo=184&nttNo=252359;2026-08-10 게시판 조회 — 협력사업비 공고(2023-01-31·2015-01-29)만 있고 지정공고는 게시판에 없음;현 금고: 신한은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
광진구청,지자체,11,11050,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — 금리 공고(2026-01-05)만 노출, 금고지정 공고 없음(아직 공고 전으로 보임);현 금고: 국민은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
동대문구청,지자체,11,11060,4,,2026-07-30,Y,,,"기준일=공고일(금고지정 계획 공고) — **진행 중**. 2022년 회차(계획 2022-08-18 →;결과 2022-10-27)도 같은 게시판에서 확인돼 절차 소요기간(계획→결과 약 70일)이 실증됨;https://eminwon.ddm.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do;현 금고: 국민은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-10
중랑구청,지자체,11,11070,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — 금리 공고(2026-01-08)만 노출, 금고지정 공고 없음(아직 공고 전으로 보임);현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
성북구청,지자체,11,11080,4,2022-10-27,,,,,"기준일=지정 공고일 — 「서울특별시 성북구 금고지정 공고」(제2022-1447호, 2022-10-27) 원문 확인;우리은행 단수금고(1순위 893.92점, 2순위 신한은행 861.8점) · 약정 2023-01-01~2026-12-31(4년) — COMMON과 일치;2018 회차(계획 2018-08-02 → 수정 08-06 → 지정 2018-09-27)도 같은 게시판에서 확인 — 4년 주기 2회차 실증;2026-02-26 금고지정 규칙 일부개정 입법예고 — 2026 회차 준비 신호. 검색은 자체 게시판(key=6977&searchCnd2=notAncmtSj)이 열쇠;https://www.sb.go.kr/www/selectEminwonView.do?key=6977&notAncmtMgtNo=31393;현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-10
강북구청,지자체,11,11090,4,2022-10-07,,,,,"기준일=지정 결과공고일(2022-10-07). 2026년 공고는 게시판에 아직 없음(반기별 운용현황만 있음);https://eminwon.gangbuk.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do;현 금고: 신한은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-10
도봉구청,지자체,11,11100,4,,,,,,"월/일 미확보 — 게시판에서 2014-11-12 지정 공고·2010-10-05 체결 공고를 확인했으나;2022년 회차 공고가 없어(다른 곳에 게시된 것으로 추정) 그대로 추정하면 날짜가;과거(2018년)로 계산돼 오해를 낳는다. 회차만 참고하고 날짜는 비운다;https://dobong.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do;현 금고: 국민은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-10
노원구청,지자체,11,11110,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 재조사 — eminwon 호스트 확인(nowon.eminwon.seoul.kr, https 인증서 문제로 http 진입 후 리다이렉트). 게시판 활성(227건)이나 게재기간 중인 공고만 노출하는 유형 — '금고' 0건(아직 공고 전으로 읽음, 9월 재조회 대상);현 금고: 국민은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
은평구청,지자체,11,11120,4,,,,,,"월/일 미확보 — 게시판에서 2018-08-30 지정 계획 공고를 확인했으나 2022년 회차가;없어(2026년 신한은행 재선정 보도만 있음) 그대로 추정하면 과거(2022년)로 계산된다;https://eminwon.ep.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do;현 금고: 신한은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-10
서대문구청,지자체,11,11130,4,2022-10-06,,,,,"기준일=지정 결과 공고일(2022-10-06) — 1순위 우리은행 · 2순위 국민은행;https://www.sdm.go.kr/news/notice/notice.do?mode=view&sdmBoardSeq=275035;현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
마포구청,지자체,11,11140,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — 금리 공고(2026-01-08)만 노출, 금고지정 공고 없음(아직 공고 전으로 보임);현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
양천구청,지자체,11,11150,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — '금고 지정 현황' 공고(2026-01-02)만 노출, 지정 계획/결과 공고 없음;현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
강서구청,지자체,11,11160,4,2022-10-18,,,,,"기준일=지정 결과공고일(2022-10-18, 공고 제2022-1887호);같은 게시판에서 2014-11-05 · 2018-10-24 금고지정 공고도 확인 — 4년 주기가 3회차로 실증됨;https://eminwon.gangseo.seoul.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do;현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-10
구로구청,지자체,11,11170,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — '금고' 제목 공고 0건(게시판에 없음);현 금고: 신한은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
금천구청,지자체,11,11180,4,2022-10-20,,,,,"기준일=지정 공고일(2022-10-20, 공고 제2022-1723호). 2018-10-18 지정 공고도 확인돼;4년 주기가 2회차로 실증됨(같은 날짜대 10월 중순~하순);https://eminwon.geumcheon.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do;현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-10
영등포구청,지자체,11,11190,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — 금리 공고(2026-01-08)만 노출, 금고지정 공고 없음(아직 공고 전으로 보임);현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
동작구청,지자체,11,11200,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — 금리 공고(2026-01-08)만 노출, 금고지정 공고 없음(아직 공고 전으로 보임);현 금고: 국민은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
관악구청,지자체,11,11210,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — 금리 공고(2026-01-08)만 노출, 금고지정 공고 없음(아직 공고 전으로 보임);현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
서초구청,지자체,11,11220,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — '금고' 제목 공고 0건(게시판에 없음);현 금고: 신한은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
강남구청,지자체,11,11230,4,,2026-07-30,Y,,,"기준일=공고일(금고지정 계획 공고, 공고 제2026-1843호) — **진행 중**;구청 고시공고 게시판(eminwon) 제목 검색으로 직접 확인;https://gangnam.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do;현 금고: 신한은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-10
송파구청,지자체,11,11240,4,2022-09-01,,,,,"기준일=제안서 접수 시작일(2022-09-01) — 공고는 그 이전에 게시됨;2022년 회차: 접수 2022-09-01~09-07 · 9월 말 금고지정위원회 · 약정 2023-01-01부터 4년;구의회 답변: 약정 만료 3개월 전까지 지정해야 해 9월 말이 기한이었다;https://council.songpa.go.kr/record/recordView.do?key=6ac64c56d468e3fcace0bd3f1a09cc7fa906d74d114d2332f458384c19c5bc9e0e60b22903b66610;현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
강동구청,지자체,11,11250,4,,,,,,"월/일 미확보 — 구청 공고 원문 미확인;2026-08-10 게시판 조회 — 금리 공고(2026-01-07)만 노출, 금고지정 공고 없음(아직 공고 전으로 보임);현 금고: 우리은행;약정 2023-01-01~2026-12-31(4년) — 25개 자치구 공통, 2026년 말 일제히 만료;2026년 하반기 순차 입찰 예정(총 16조 규모) · 2022년 회차는 8월 공고→9월 중순 접수→10월 초 선정;2022년 회차는 10월 말까지 23개 구가 선정을 마쳤다;https://www.asiae.co.kr/article/2022082515025045247;https://www.asiae.co.kr/article/2022102320030606747;https://www.ajunews.com/view/20260522112357252",2026-08-09
수원시청,지자체,41,31011,4,2022-08-19,,,,,"기준일=보도일(뉴스 기사 작성일) — ⚠️ 공고일/지정일 원문 미확인, 근사치로 사용;IBK기업은행 선정 · 약정 2023-01~2026-12(4년) · 연 약 3.5조;http://www.suwon.com/news/articleView.html?idxno=207410",2026-08-10
수원시청,지자체,41,31012,4,2022-08-19,,,,,"기준일=보도일(뉴스 기사 작성일) — ⚠️ 공고일/지정일 원문 미확인, 근사치로 사용;IBK기업은행 선정 · 약정 2023-01~2026-12(4년) · 연 약 3.5조;http://www.suwon.com/news/articleView.html?idxno=207410",2026-08-10
수원시청,지자체,41,31013,4,2022-08-19,,,,,"기준일=보도일(뉴스 기사 작성일) — ⚠️ 공고일/지정일 원문 미확인, 근사치로 사용;IBK기업은행 선정 · 약정 2023-01~2026-12(4년) · 연 약 3.5조;http://www.suwon.com/news/articleView.html?idxno=207410",2026-08-10
수원시청,지자체,41,31014,4,2022-08-19,,,,,"기준일=보도일(뉴스 기사 작성일) — ⚠️ 공고일/지정일 원문 미확인, 근사치로 사용;IBK기업은행 선정 · 약정 2023-01~2026-12(4년) · 연 약 3.5조;http://www.suwon.com/news/articleView.html?idxno=207410",2026-08-10
성남시청,지자체,41,31021,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
성남시청,지자체,41,31022,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
성남시청,지자체,41,31023,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
의정부시청,지자체,41,31030,,,,,,,월/일 미확보 — eminwon 조회(2026-08-10): 지정 공고 없음 — 금고 적용금리 공고(2026-01-07)와 협력 사업비 공개(2023-04-11·2019-01-29·2015-02-09)만 있음. 협력사업비 4년 간격은 주기 힌트일 뿐 근거로 쓰지 않음,2026-08-10
안양시청,지자체,41,31041,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
안양시청,지자체,41,31042,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
부천시청,지자체,41,31050,4,2025-07-08,,,,,"기준일=보도일(선정 확정 보도) — ⚠️ 공고일/지정일 원문 미확인, 근사치로 사용;1금고 NH농협은행 · 2금고 IBK기업은행(국민은행 밀어냄) · 약정 ~2029;https://www.financialpost.co.kr/news/articleView.html?idxno=229447;직전 회차 「부천시 금고 지정 공고」(제2021-2055호, 2021-09-06)를 eminwon에서 확인 — 2021→2025 4년 주기 실증(2026-08-10)",2026-08-10
광명시청,지자체,41,31060,,,2026-08-04,Y,,,"기준일=공고일 — 「광명시 금고 지정 계획 재공고」(제2026-1764호, 2026-08-04) **진행 중**;공고기간 2026-08-04~08-11 · 세정과 · 첨부 hwpx — eminwon 상세 원문 확인(2026-08-10);재공고라는 점에 주의 — 1차 공고는 응모 미달 등으로 재공고됐을 가능성;https://eminwon.gm.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do",2026-08-10
